Code;Name;Modellarten;Status
20300;"Katasterliche Personendaten fortführen 
Mit dieser Fortführung werden im Grundbuch noch nicht gebuchte sowie buchungsfreie Flurstücke im Liegenschaftskataster gebucht (Katasterblatt, Erwerberblatt, Pseudoblatt). Die Fortführung beinhaltet die Buchung eines Flurstücks auf einer Buchungsstelle.";DLKM;Gültig
20301;Veränderung der Personendaten;DLKM;Gültig
20302;Veränderung der Personengruppe;DLKM;Gültig
20303;Veränderung der Anschrift aufgrund katasterlicher Erhebung (2);DLKM;Veraltet
20303;Veränderung der Anschrift aufgrund katasterlicher Erhebung;DLKM;Gültig
20304;Veränderung der Verwaltung;DLKM;Gültig
20305;"Veränderung der Vertretung 
Mit dieser Fortführung werden die Daten zur Vertretung aufgrund katasterlicher Erhebungen verändert.";DLKM;Gültig
30000;Grundbuchblattbezeichnung ändern;DLKM;Gültig
30100;Umnummerierung (infolge Zuständigkeitsänderungen am Grundbuch);DLKM;Gültig
40000;Beschreibung der Buchungsstelle ändern;DLKM;Gültig
40100;Änderungen am Wohnungseigentum;DLKM;Gültig
40200;Änderungen am Wohnungserbbaurecht;DLKM;Gültig
40300;Änderungen am Wohnungsuntererbbaurecht;DLKM;Veraltet
40300;Änderungen am Wohnungsuntererbbaurecht;DLKM;Gültig
40400;Buchung § 3 Abs.4 ff GBO ändern;DLKM;Veraltet
40400;Buchung § 3 Abs. 4 ff GBO ändern;DLKM;Gültig
40500;Änderungen an den Beziehungen zwischen den Buchungsstellen;DLKM;Gültig
40600;Änderungen in der Ergänzung, Beschreibung sowie der Bemerkung zu Buchungen;DLKM;Gültig
50000;Angaben zu Eigentümer oder Erbbauberechtigten verändern;DLKM;Gültig
50100;Eigentumsänderung;DLKM;Gültig
50101;Kompletter Eigentumswechsel im Grundbuchblatt;DLKM;Gültig
50102;Teilweiser Eigentumswechsel im Grundbuchblatt;DLKM;Gültig
50200;Berichtigung aufgrund Erbnachweis;DLKM;Gültig
50300;Berichtigung aufgrund Erwerbsvorgängen außerhalb des Grundbuchs;DLKM;Gültig
50400;Namensänderung;DLKM;Gültig
60000;Grundstücke buchen;DLKM;Gültig
60100;Abschreibung;DLKM;Gültig
60101;Abschreibung auf neues Buchungsblatt;DLKM;Gültig
60102;Abschreibung auf bestehendes Buchungsblatt;DLKM;Gültig
60200;Teilung;DLKM;Gültig
60201;Buchung der neuen Grundstücke in einem bestehenden Buchungsblatt;DLKM;Gültig
60400;Vereinigung (§ 890 I BGB, § 5 GBO);DLKM;Veraltet
60400;Vereinigung (§ 890 Abs. 1 BGB, § 5 GBO);DLKM;Gültig
60500;Bestandteilszuschreibung (§ 890 II BGB, § 6 GBO);DLKM;Veraltet
60500;Bestandteilszuschreibung (§ 890 Abs. 2 BGB, § 6 GBO);DLKM;Gültig
60600;Vollziehung einer Verschmelzung;DLKM;Gültig
60700;Buchung aufgrund Veränderung der Grundstücksbezeichnung oder der Größe (Spalten 3 + 4 des BV);DLKM;Gültig
60800;Buchung nach § 3 Abs.4 GBO aufheben;DLKM;Veraltet
60800;Buchung nach § 3 Abs. 4 GBO aufheben;DLKM;Gültig
